date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:27	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265b99465-239b%22	https://himangmyid.github.io/robots.txt		(from )
22:44:27	6403/6403	---M-Z	200	added ('OK')	text/html	etag:W/%2264ed7d33-1903%22	https://himangmyid.github.io/febry/	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/index.html	(from )
22:44:29	64046/64046	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fa2e-HV0g5f4dJ6DqsUeCErN00mwkKtc%22	https://cdn.jsdelivr.net/npm/sweetalert2@11.0.19/dist/sweetalert2.all.min.js	C:/Users/royan/Downloads/143/cdn.jsdelivr.net/npm/sweetalert2@11.0.19/dist/sweetalert2.all.min.js	(from https://himangmyid.github.io/febry/)
22:44:29	9206/9206	---M-Z	200	added ('OK')	text/css	etag:W/%2264ed7d33-23f6%22	https://himangmyid.github.io/febry/style.css	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/style.css	(from https://himangmyid.github.io/febry/)
22:44:29	9770/9770	---MCZ	200	added ('OK')	application/javascript	etag:%22262a-8Azqrl+5AMcvIsXfz4SlcKscZ7Y%22	https://unpkg.com/typeit@8.7.0/dist/index.umd.js	C:/Users/royan/Downloads/143/unpkg.com/typeit@8.7.0/dist/index.umd.js	(from https://himangmyid.github.io/febry/)
22:44:30	11892/11892	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2003%20Feb%202024%2017:14:30%20GMT	https://kit.fontawesome.com/4f3ce16e3e.js	C:/Users/royan/Downloads/143/kit.fontawesome.com/4f3ce16e3e.js	(from https://himangmyid.github.io/febry/)
22:44:31	63498/63498	---M--	200	added ('OK')	image/jpeg	etag:%2264ed7d33-f80a%22	https://himangmyid.github.io/febry/gbr/febry.jpg	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/gbr/febry.jpg	(from https://himangmyid.github.io/febry/)
22:44:32	82939/82939	---M--	200	added ('OK')	image/png	etag:%2264ed7d33-143fb%22	https://himangmyid.github.io/febry/gbr/kado.png	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/gbr/kado.png	(from https://himangmyid.github.io/febry/)
22:44:33	151193/151193	---M--	200	added ('OK')	image/gif	etag:%2264ed7d33-24e99%22	https://himangmyid.github.io/febry/gbr/bunga.gif	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/gbr/bunga.gif	(from https://himangmyid.github.io/febry/)
22:44:33	4802906/4802906	---M--	200	added ('OK')	audio/mp3	etag:%2264ed7d33-49495a%22	https://himangmyid.github.io/febry/hbdfb.mp3	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/hbdfb.mp3	(from https://himangmyid.github.io/febry/)
22:44:33	55654/55654	---M--	200	added ('OK')	image/gif	etag:%2264ed7d33-d966%22	https://himangmyid.github.io/febry/gbr/pusn.gif	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/gbr/pusn.gif	(from https://himangmyid.github.io/febry/)
22:44:33	108632/108632	---M--	200	added ('OK')	image/gif	etag:%2264ed7d33-1a858%22	https://himangmyid.github.io/febry/gbr/pandacoklat.gif	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/gbr/pandacoklat.gif	(from https://himangmyid.github.io/febry/)
22:44:33	85359/85359	---M--	200	added ('OK')	image/gif	etag:%2264ed7d33-14d6f%22	https://himangmyid.github.io/febry/gbr/cilukba.gif	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/gbr/cilukba.gif	(from https://himangmyid.github.io/febry/)
22:44:34	99324/99324	---M--	200	added ('OK')	image/gif	etag:%2264ed7d33-183fc%22	https://himangmyid.github.io/febry/gbr/pandakuning.gif	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/gbr/pandakuning.gif	(from https://himangmyid.github.io/febry/)
22:44:34	62118/62118	---M--	200	added ('OK')	image/gif	etag:%2264ed7d33-f2a6%22	https://himangmyid.github.io/febry/gbr/emawh.gif	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/gbr/emawh.gif	(from https://himangmyid.github.io/febry/)
22:44:34	116020/116020	---M--	200	added ('OK')	image/gif	etag:%2264ed7d33-1c534%22	https://himangmyid.github.io/febry/gbr/weee.gif	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/gbr/weee.gif	(from https://himangmyid.github.io/febry/)
22:44:35	7948/7948	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264ed7d33-1f0c%22	https://himangmyid.github.io/febry/script.js	C:/Users/royan/Downloads/143/himangmyid.github.io/febry/script.js	(from https://himangmyid.github.io/febry/)
